t_ms,rawRed,rawIr,HR_printed,SpO2_printed,redDC,irDC,red_filtered_Ac,ir_filtered_Ac,irAbs,threshold,ACredRms,ACirRms
1000,499,509,/,/,/,/,/,/,/,/,/,/
2000,550,544,/,/,/,/,/,/,/,/,/,/
3000,726,523,/,/,/,/,/,/,/,/,/,/
4000,692,474,/,/,/,/,/,/,/,/,/,/
5000,676,463,/,/,/,/,/,/,/,/,/,/
6000,128152,137921,0,87.2,74011,79822,54600,58390,45913,800,50298,53865
7000,129092,140174,0,87.2,121787,131801,9093,10411,19115,800,13875,15305
8000,127997,138789,0,87.2,127744,138557,452,559,3204,800,2073,2314
9000,127604,137827,0,87.2,127701,138209,-1153,-1436,886,266,949,1120
10000,127748,138486,0,87.2,127426,137965,-828,-829,819,246,903,900
11000,127620,138826,0,87.3,127369,138325,119,205,662,199,716,692
12000,127092,137806,0,87.4,127315,138162,815,722,760,228,800,853
13000,126867,137787,0,87.6,127279,138131,752,964,880,264,848,1009
14000,126904,138105,49.5,88,126362,137394,-654,-733,675,135,727,772
15000,126724,138174,51.6,88.6,126866,138267,-1008,-970,710,213,808,850
16000,126512,137628,58.1,89.9,126876,138203,-475,-661,608,183,545,691
17000,126385,137366,65.5,91.1,126651,137806,-475,-629,651,195,529,727
18000,126527,137775,69.2,92.5,126489,137684,-696,-970,745,224,603,889
19000,126614,138345,71.7,95.9,126437,137790,-410,-829,816,245,462,900
20000,126351,137474,76.5,97.2,126369,137548,135,177,830,249,336,907
21000,125995,136867,70.6,95.4,126276,137379,370,857,795,238,400,897
22000,126122,137432,67.6,94.4,126288,137584,111,432,921,276,440,968
23000,125879,137146,66.1,93.4,126115,137504,-516,-678,668,200,458,770
24000,125551,136137,61.1,93.7,125753,136697,-753,-1465,747,224,583,1093
25000,125230,135339,50.2,95.6,125493,136013,-540,-1117,634,190,431,855
26000,124869,134578,44.7,96.1,125266,135451,60,186,649,195,249,609
27000,125316,135448,59.9,96.8,125200,135243,627,1565,951,190,547,1289
28000,125617,136167,59.9,97.2,125521,135919,596,1568,903,271,514,1254
29000,125852,136517,59.9,96.2,125796,136419,597,1434,870,261,519,1166
30000,125720,136041,53.3,95.8,125789,136217,484,1007,727,145,409,867
31000,125658,135907,53.7,96.3,125574,135679,326,614,665,199,341,729
32000,125577,135717,58.1,96,125448,135406,66,62,762,229,326,783
33000,125771,136190,65,97,125561,135628,207,346,635,191,284,679
34000,125862,136342,69.5,97.5,125781,136098,411,1032,686,206,335,871
35000,125621,135264,67.6,97.6,125779,135889,288,821,753,226,306,833
36000,125198,134410,62.4,97.9,125509,135183,76,421,723,217,224,717
37000,125372,134762,59.9,98.1,125443,135051,216,763,922,277,345,997
38000,125567,135265,56.5,98,125602,135435,319,1127,1036,311,390,1207
39000,125825,135961,55.8,97.5,125819,135918,486,1429,1044,313,478,1330
40000,125856,135799,59.7,96.4,125920,135994,518,1170,848,254,452,1038
41000,125515,134961,66.3,97,125746,135540,303,800,756,227,333,824
42000,125719,135318,69.6,96.6,125794,135585,256,629,910,273,403,979
43000,125819,135482,69.8,96.6,125830,135634,-288,-540,692,207,341,774
44000,125987,135934,69.9,95.7,125844,135614,-464,-1071,793,238,427,957
45000,126230,136504,66.2,95.6,125940,135875,-185,-465,767,230,359,783
46000,126445,136830,64.3,95.1,126152,136267,135,113,675,202,336,697
47000,126246,136131,68.1,94.9,126214,136146,294,376,765,230,401,828
48000,126185,136075,70.5,95.9,126262,136201,519,1116,774,232,461,963
49000,126047,135856,71.8,96.7,126255,136292,169,510,820,246,333,858
50000,126283,136419,72.3,96.8,126249,136362,-241,-582,730,219,327,822
51000,125859,135379,73.2,96.8,125916,135533,-579,-1471,1025,308,536,1353
52000,125882,135130,69.4,97.3,125770,134967,86,3,805,241,307,857
53000,126218,135843,66,96,126049,135467,631,1317,720,216,475,1005
54000,126433,136337,64.2,95.1,126401,136188,703,1475,876,263,587,1198
55000,126499,136400,62.9,94.6,126613,136587,591,1214,891,267,566,1100
56000,126729,136945,63.2,94.4,126811,137045,533,1169,1010,303,593,1202
57000,126853,137122,63.4,94.8,126979,137412,332,762,948,284,508,1032
58000,126768,136774,67.6,95.1,126962,137266,-65,-141,688,206,359,722
59000,126471,136204,69.7,96.9,126644,136628,-553,-1214,702,211,429,951
60000,126464,136152,70.3,96.7,126392,135999,-471,-1216,876,263,434,1098
61000,126635,136569,71.1,97.3,126433,136050,56,1,704,211,274,725
62000,127009,137287,72,95.8,126830,136873,682,1412,764,229,511,1080
63000,126868,137002,72.5,95.8,127058,137372,333,801,856,257,432,954
64000,126625,136204,72.2,96.6,126814,136795,-384,-922,624,187,351,797
65000,126921,136650,72.6,94.6,126700,136331,-483,-1048,818,245,453,974
66000,127226,137375,72.7,92.9,126878,136714,121,280,628,188,393,673
67000,127445,137971,72.8,94.6,127354,137680,775,1510,821,246,629,1165
68000,127267,137329,71.4,95,127495,137905,192,452,791,237,427,816
69000,127019,136870,71.6,96.5,127195,137309,-467,-992,668,200,384,850
70000,127004,136921,70.4,97.5,126944,136738,-484,-1258,876,263,419,1102
71000,127063,137039,70.2,97.8,126920,136621,-22,-304,820,246,276,844
72000,127062,137281,71,96.7,127022,137009,425,993,701,210,359,873
73000,127150,137429,66.8,97,127203,137551,459,1296,883,265,431,1126
74000,127203,137464,64.2,97.5,127309,137805,271,849,913,274,380,1009
75000,126892,136439,63.8,98,127153,137288,-73,-102,624,187,215,625
76000,126629,135769,63.6,97.9,126881,136472,-201,-524,602,181,226,657
77000,126605,135680,59.3,97.8,126742,136101,-220,-547,634,190,240,696
78000,126969,136780,53,97.8,126944,136761,58,405,1027,308,322,1030
79000,127315,137819,49.8,97.7,127289,137736,439,1328,1222,366,482,1436
80000,127526,138370,47.3,97.5,127423,138022,561,1516,829,166,447,1172
81000,127372,137900,50.7,97.6,127264,137587,-33,-85,824,247,269,805
82000,127096,137301,56.6,98.4,127098,137186,-383,-1111,1085,326,413,1249
83000,127146,137531,62.9,98.3,127034,137124,-272,-892,898,269,325,1011
84000,127072,137607,66.9,97.5,126970,137181,-173,-524,862,258,336,896
85000,127125,137890,69.3,96.1,126999,137465,227,549,663,199,304,743
86000,127064,137870,66,95.3,127112,137844,548,1177,753,226,458,967
